Country/Territory,IMF(2026)[1],World Bank(2025)[6],United Nations(2024)[7]
World,"126,295,331","118,350,166","111,565,144"
United States,"32,383,920","30,769,700","29,298,000"
China[n 1],"20,851,593","19,498,039","18,743,802"
Germany,"5,452,858","5,050,923","4,659,929"
Japan,"4,379,253","4,435,163","4,026,211"
United Kingdom,"4,264,794","4,002,588","3,685,881"
India,"4,153,191","3,956,067","3,952,244"
France,"3,596,094","3,366,316","3,160,443"
Italy,"2,738,164","2,551,557","2,380,825"
Russia,"2,656,452","2,561,310","2,173,386"
Brazil,"2,635,912","2,279,920","2,185,822"
Canada,"2,507,340","2,319,900","2,270,076"
Australia,"2,123,963","1,798,519","1,830,610"
Mexico,"2,120,855","1,832,641","1,852,723"
Spain,"2,091,222","1,906,453","1,722,746"
South Korea,"1,931,008","1,872,375","1,875,388"
Turkey,"1,640,223","1,597,293","1,323,255"
Indonesia,"1,539,872","1,445,643","1,396,300"
Netherlands,"1,449,704","1,332,768","1,214,928"
Saudi Arabia,"1,388,676","1,276,943","1,254,141"
Switzerland,"1,146,911","1,043,530","936,564"
Poland,"1,134,248","1,035,492","914,696"
Taiwan[n 3],"976,719",—N/a,—N/a
Ireland,"779,381","721,701","577,389"
Belgium,"776,730","725,466","664,564"
Sweden,"760,481","668,999","604,899"
Israel,"719,848","610,778","542,286"
Argentina,"688,378","683,098","638,365"
Singapore,"659,572","603,870","547,387"
Austria,"623,719","579,470","534,791"
United Arab Emirates,"621,546","552,325 (2024)","552,325"
Norway,"599,406","530,756","483,593"
Thailand,"579,996","577,010","526,518"
Colombia,"539,530","457,410","418,542"
Vietnam,"527,266","514,697","476,388"
Malaysia,"516,428","472,193","421,972"
Philippines,"512,222","487,086","461,618"
Bangladesh,"510,705","456,319","432,742"
Denmark,"503,772","462,527","424,525"
Romania,"480,834","428,678","382,770"
South Africa,"479,964","427,184","401,145"
Hong Kong[n 4],"450,138","427,310","406,863"
Czech Republic,"432,597","391,027","345,037"
Egypt,"429,645","365,255","306,907"
Chile,"407,850","357,371","330,267"
Pakistan,"407,786 (2025)","407,307","379,120"
Peru,"380,900","334,855","289,329"
Portugal,"380,637","346,640","313,271"
Nigeria,"377,365","290,794","252,084"
Kazakhstan,"360,456","306,239","291,480"
Finland,"337,669","317,039","298,697"
Algeria,"317,173","287,031","266,972"
Greece,"307,554","280,636","257,145"
Iran,"300,293","362,682","448,092"
New Zealand,"278,636","264,057","260,172"
Hungary,"271,122","246,490","222,905"
Iraq,"264,784","254,367","279,641"
Cuba,—N/a,"107,352 (2020)","252,063"
Ukraine[n 5],"225,337","214,233","190,741"
Qatar,"217,416","215,560","219,163"
Morocco,"194,333","182,374","160,606"
Uzbekistan,"181,502","147,038","114,965"
Kuwait,"172,920","157,209","160,227"
Slovakia,"168,897","154,530","141,776"
Angola,"152,354","122,175","117,159"
Bulgaria,"148,121","130,777","113,343"
Kenya,"147,265","135,941","120,340"
Ecuador,"138,194","130,321","124,676"
Dominican Republic,"136,148","127,407","124,282"
Puerto Rico,"129,012","129,368","125,842"
Guatemala,"128,886","123,306","113,200"
DR Congo,"123,406","91,031","75,322"
Ethiopia,"121,527","126,359","142,275"
Ghana,"118,293","114,210","82,938"
Oman,"117,176","109,605","107,137"
Croatia,"116,574","105,060","92,662"
Ivory Coast,"112,115","99,774","85,894"
Serbia,"112,025","99,953","89,074"
Venezuela,"111,303","99,661","150,494"
Luxembourg,"110,417","101,158","93,280"
Costa Rica,"109,931","102,905","95,350"
Sri Lanka,"98,964 (2024)","108,825","98,714"
Lithuania,"105,907","95,210","84,869"
Belarus,"102,042","93,397","75,962"
Uruguay,"96,092","85,348","80,962"
Panama,"95,024","90,463","86,260"
Tanzania[n 6],"94,889","90,143","79,236"
Slovenia,"86,732","79,648","72,485"
Myanmar,"83,832","81,666","64,796"
Turkmenistan,"83,065","49,829","68,655"
Bolivia,"80,743","64,769","46,627"
Azerbaijan,"78,372","75,938","74,316"
Uganda,"73,370","61,986","56,369"
Cameroon,"65,135","58,933","53,297"
Jordan,"64,909","61,610","53,352"
Tunisia,"60,745","57,503","53,493"
Paraguay,"60,542","49,278","44,739"
Zimbabwe,"56,713","51,216","45,719"
Macau[n 7],"54,228","52,061","49,467"
Latvia,"53,686","48,619","43,684"
Libya,"52,453","48,099","48,484"
Cambodia,"52,379","51,267","45,913"
Estonia,"51,634","47,031","42,765"
Bahrain,"48,849","48,966","47,110"
Nepal,"45,844","45,490","42,692"
Cyprus[n 8],"45,171","41,226","37,635"
Sudan,"44,688","60,163","25,574"
Iceland,"43,800","38,583","33,222"
Georgia[n 9],"42,716","38,144","34,192"
Honduras,"41,505","39,601","37,094"
Zambia,"41,243","28,880","25,303"
Senegal,"40,469","37,007","36,715"
El Salvador,"39,838","36,708","35,365"
Haiti,"39,180","32,077","25,312"
Bosnia and Herzegovina,"36,771","32,600","30,478"
Lebanon,"34,497 (2025)","25,972 (2024)","37,990"
Papua New Guinea,"34,403","32,499","32,262"
Guyana,"33,961","27,097","24,659"
Mali,"33,847","30,069","26,588"
Albania,"33,333","30,540","27,037"
Burkina Faso,"32,513","27,627","23,250"
Armenia,"31,873","29,243","25,955"
Malta,"30,712","27,772","25,030"
Guinea,"29,930","28,346","36,465"
Mongolia,"28,450","25,369","23,586"
Benin,"27,786","24,566","21,483"
Trinidad and Tobago,"26,836","25,943","25,634"
Chad,"25,628","21,473","19,906"
Niger,"24,813","21,646","17,491"
Nicaragua,"24,227","22,237","19,694"
Kyrgyzstan,"23,606","22,624","17,478"
Gabon,"23,363","21,427","20,867"
Mozambique,"23,275","22,338","22,745"
Jamaica,"23,028","22,705","22,014"
